Usagi's FPS-3000
612-4274-002-F  PG SEL         Program Select?
2266            TM             ROM & RAM
612-4226-031-D  FMT M          Format Mantissa Extended
612-4227-031-C  FMT E          Format Exponent W/O XCVR FMTEP
2221            AP/VAX I/F     Vax 11-780 Interface

eBay AP-120B
612-4208-001-?  FMUL C         Floating Multiplier C
612-4207-002-A  FMUL B         Floating Multiplier B
612-4206-001-A  FMUL A         Floating Multiplier A
612-4205-001-A  FADD 3         Floating Adder 3
612-4204-003-A  FADD 2         Floating Adder 2
612-4203-002-B  FADD 1         Floating Adder 1
612-4200-002-A  DATA PAD       Data Pad Left and Right
612-4200-002-A  DATA PAD       Data Pad Left and Right
612-4213-001-A  MIREG          Memory Input Register
612-4209-002-A  TMREG          Table Memory Register
612-4217-004-A  TM ROM         Table Memory ROM
612-4202-006-A  MDREG          Main Data Register
612-4353-000-A  CB2            CB-2 UCODE & TMG
612-4210-005-A  CB1            Control Buffer 1
612-4214-007-A  EXPAN          Expansion of CB1
612-4354-004-B  ADDR           Address 2.5k TM ROM
612-4201-004-A  S PAD          Scratch Pad
612-4236-001-A  PS RAM 2K      Program Source RAM
612-4236-004-A  PS RAM 2K      Program Source RAM
612-4244-216-B  MAIN DATA      Data in from Host and to Host
612-4330-002-2  FPROC          ???
612-4329-003-5  FIFO/FPROC/CTRL
612-4324-009-3  CPROC CTRLR    CPROC Controller
612-4238-008-A  TM RAM         Table Memory RAM
612-4226-021-A  FMT M          Format Mantissa
612-4227-015-A  FMT E          Format Exponent
612-4219-024-A  GP+NOVA I/F    General Purpose Interface
612-4246-001-A  HSD SEL 32     ???
